"","sample_name","Observed","Shannon","InvSimpson","orgname","X16scq","totsum","rspsum","mesocosm","type","stage","sex","date.collected","day","abdomen.length.mm","wing.length","hindleg.length","special","dispersal","temperature","infusion","Wolb_ct1","Wolb_ct2","Act_ct","notes","newday","lib_size","is.neg","even","lib_size_clean"
"64","M_D13_SW3_2_S280_L001",22,1.63277265276217,3.50721218946626,"M_D13_SW3.2",NA,32434,29773,"SW3.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",32434,FALSE,0.528227184647114,32434
"65","M_D13_SW3_3_S281_L001",18,1.5929828045254,3.51426101467693,"M_D13_SW3.3",NA,23737,21956,"SW3.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",23737,FALSE,0.551134226998155,23737
"66","M_D13_SW3_4_S282_L001",18,1.50023468105778,3.14825377412227,"M_D13_SW3.4",NA,22840,21259,"SW3.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",22840,FALSE,0.519045578465577,22840
"67","M_D13_SW3_5_S283_L001",22,1.64830560447434,3.51334939683377,"M_D13_SW3.5",NA,34205,31533,"SW3.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",34205,FALSE,0.533252334559014,34205
"68","M_D13_SW3_6_S284_L001",20,1.61550284726233,3.4793779780421,"M_D13_SW3.6",NA,29218,27046,"SW3.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",29218,FALSE,0.539268098662826,29218
"69","M_D13_SW3_7_S285_L001",23,1.65060695632568,3.54773629709526,"M_D13_SW3.7",NA,29584,27389,"SW3.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",29584,FALSE,0.526426407658529,29584
"70","M_D13_SW3_8_S286_L001",23,1.5697836060902,3.29850699626113,"M_D13_SW3.8",NA,30900,29270,"SW3.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",30900,FALSE,0.500649498288112,30900
"71","M_D21_OL1_1_S287_L001",24,1.65111370974492,2.79376240465649,"M_D21_OL1.1",NA,21015,18760,"OL1.1","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",21015,FALSE,0.519536105391945,21015
"72","M_D21_OL1_2_S288_L001",29,1.47769944204673,2.17883677684058,"M_D21_OL1.2",NA,29867,27547,"OL1.2","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",29867,FALSE,0.4388386161048,29867
"73","M_D21_OL1_3_S289_L001",29,1.5174565427225,2.26722694585622,"M_D21_OL1.3",NA,33671,30897,"OL1.3","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",33671,FALSE,0.450645449446178,33671
"74","M_D21_OL1_4_S290_L001",27,1.59798478603357,2.43703633813265,"M_D21_OL1.4",NA,30036,27244,"OL1.4","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",30036,FALSE,0.484849478600217,30036
"75","M_D21_OL1_5_S291_L001",29,1.86542208618506,3.26090971564346,"M_D21_OL1.5",NA,29524,25436,"OL1.5","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",29524,FALSE,0.55398223986532,29524
"76","M_D21_OL1_6_S292_L001",27,1.73976566356725,2.94837822027688,"M_D21_OL1.6",NA,29723,26542,"OL1.6","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",29723,FALSE,0.527867650705792,29723
"77","M_D21_OL1_7_S293_L001",28,1.68968869948478,2.66156708892295,"M_D21_OL1.7",NA,30401,27154,"OL1.7","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",30401,FALSE,0.507078330374128,30401
"78","M_D21_OL1_8_S294_L001",29,1.4470180494176,2.19190280955154,"M_D21_OL1.8",NA,36718,33590,"OL1.8","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",36718,FALSE,0.429727033939698,36718
"79","M_D21_OL2_1_S295_L001",22,1.71164280230426,2.81220784278037,"M_D21_OL2.1",NA,25148,22317,"OL2.1","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",25148,FALSE,0.553742896816127,25148
"80","M_D21_OL2_2_S296_L001",27,1.26056014648401,1.80324487426107,"M_D21_OL2.2",NA,43030,40166,"OL2.2","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",43030,FALSE,0.382470430950739,43030
"81","M_D21_OL2_3_S297_L001",22,1.47595392689077,2.24560935250555,"M_D21_OL2.3",NA,26488,24598,"OL2.3","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",26488,FALSE,0.477493903484631,26488
"82","M_D21_OL2_4_S298_L001",27,1.61442911248083,2.48549868433034,"M_D21_OL2.4",NA,24313,22065,"OL2.4","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",24313,FALSE,0.489838902262801,24313
"83","M_D21_OL2_5_S299_L001",31,1.73477204303188,2.81846919768465,"M_D21_OL2.5",NA,36637,32190,"OL2.5","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",36637,FALSE,0.505177200650627,36637
"84","M_D21_OL2_6_S300_L001",30,1.84818468396097,3.18754350209231,"M_D21_OL2.6",NA,31339,27606,"OL2.6","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","mid",31339,FALSE,0.543392363502809,31339
"85","M_D21_OL2_7_S301_L001",25,2.06432968977187,5.13252006835012,"M_D21_OL2.7",NA,28489,22706,"OL2.7","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",28489,FALSE,0.641320076351934,28489
"86","M_D21_OL2_8_S302_L001",19,1.77063212626108,3.78260969906775,"M_D21_OL2.8",NA,14552,12696,"OL2.8","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","mid",14552,FALSE,0.601347876043381,14552
"87","M_D21_OL3_1_S303_L001",26,1.90457752810289,3.33071064122458,"M_D21_OL3.1",NA,17314,14990,"OL3.1","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",17314,FALSE,0.584567555281671,17314
"88","M_D21_OL3_2_S304_L001",28,1.85751145224706,3.13731538057673,"M_D21_OL3.2",NA,25450,21819,"OL3.2","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","mid",25450,FALSE,0.557442211777512,25450
"89","M_D21_OL3_3_S305_L001",23,1.62039096142461,2.43654740881372,"M_D21_OL3.3",NA,25244,22094,"OL3.3","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",25244,FALSE,0.516789650956008,25244
"90","M_D21_OL3_4_S306_L001",29,1.87679597125129,3.20538287663223,"M_D21_OL3.4",NA,31471,26897,"OL3.4","Microbial Water","Water","","9/4/19",20,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","mid",31471,FALSE,0.557359990333497,31471
