sample_name,orgname,16scq,totsum,rspsum,mesocosm,type,stage,sex,date.collected,day,abdomen.length.mm,wing.length,hindleg.length,special,dispersal,temperature,infusion,Wolb_ct1,Wolb_ct2,Act_ct,notes
SG2_8_4_S139_L001,SG2.8_4,25.88187151,77113,76851,SG2.8,A.albopictus,Adult,F,9/1/19,17,2.43,2.4,6.74,,D,H,SG,22.77605629,22.34625053,21.59624672,
SW2_1_1_S161_L001,SW2.1_1,27.2732511,37238,37181,SW2.1,A.albopictus,Adult,F,9/1/19,17,3.18,3.05,7.12,,N,C,SW,20.71426582,20.94275665,23.05601692,
SW3_8_1_S195_L001,SW3.8_1,26.43793478,20067,19983,SW3.8,A.albopictus,Adult,F,9/1/19,17,2.23,2.32,6.01,,D,H,SW,23.94817162,23.56150055,23.0279007,
SW3_8_2_S196_L001,SW3.8_2,25.95414366,15221,15213,SW3.8,A.albopictus,Adult,M,9/1/19,17,2.16,2,5.85,,D,H,SW,23.1981411,22.63860321,22.80572319,
OL1_1_6_S462_L001,OL1.1_6,28.39961614,34042,33647,OL1.1,A.albopictus,Adult,M,9/2/19,18,2.6,2.54,6.91,,N,C,OL,24.02267265,24.72494507,23.1812439,
OL1_4_2_S14_L001,OL1.4_2,27.12844311,45006,44817,OL1.4,A.albopictus,Adult,F,9/2/19,18,2.91,2.95,7.01,,D,C,OL,20.28046608,20.16711044,22.61404037,
OL3_1_2_S70_L001,OL3.1_2,27.24812743,24408,24128,OL3.1,A.albopictus,Adult,F,9/2/19,18,2.33,2.37,7,,N,C,OL,24.88629532,25.39679527,23.42039108,
OL3_2_3_S74_L001,OL3.2_3,27.67562499,29788,29623,OL3.2,A.albopictus,Adult,F,9/2/19,18,2.55,2.76,7.63,,N,C,OL,20.74279976,20.50073051,23.15066528,
OL3_3_3_S80_L001,OL3.3_3,27.37092366,67033,66743,OL3.3,A.albopictus,Adult,M,9/2/19,18,2.35,2.31,4.62,,D,C,OL,23.76592827,23.46290016,23.28615952,
OL3_3_4_S81_L001,OL3.3_4,30.31547792,38063,37660,OL3.3,A.albopictus,Adult,M,9/2/19,18,2.44,2.15,6.16,,D,C,OL,25.88256073,25.74209785,24.21931458,
SG2_1_1_S106_L001,SG2.1_1,26.84340337,33395,32728,SG2.1,A.albopictus,Adult,F,9/2/19,18,2.35,2.79,5.79,,N,C,SG,24.67490196,23.90143967,23.29526329,
SG2_1_2_S107_L001,SG2.1_2,26.16694929,44331,43872,SG2.1,A.albopictus,Adult,M,9/2/19,18,2.96,2.36,7.43,,N,C,SG,24.24273682,24.26314926,24.7845459,
SG2_2_1_S113_L001,SG2.2_1,27.92848919,35609,35458,SG2.2,A.albopictus,Adult,F,9/2/19,18,2.79,2.87,6.25,,N,C,SG,20.50574875,21.52557182,22.97858238,
SG2_2_2_S114_L001,SG2.2_2,27.06934169,54666,54478,SG2.2,A.albopictus,Adult,M,9/2/19,18,2.38,2.61,6,,N,C,SG,24.41205597,23.25391197,22.92505455,
SG2_8_5_S140_L001,SG2.8_5,25.79023044,45562,45423,SG2.8,A.albopictus,Adult,M,9/2/19,18,2.4,2.17,7.04,,D,H,SG,24.31830025,23.80946159,23.44977951,
SW3_6_1_S192_L001,SW3.6_1,24.42353899,24506,24375,SW3.6,A.albopictus,Adult,F,9/2/19,18,2.41,2.41,6.12,,N,H,SW,25.3170433,25.84208298,22.533741,
OL1_3_3_S11_L001,OL1.3_3,,58920,57545,OL1.3,A.albopictus,Adult,F,9/3/19,19,2.51,2.64,6.99,,D,C,OL,25.36527252,25.52601814,23.78507042,
OL1_3_4_S12_L001,OL1.3_4,26.94695672,50631,50395,OL1.3,A.albopictus,Adult,F,9/3/19,19,2.57,2.86,7.11,,D,C,OL,20.80209351,20.25452995,22.60593605,
OL1_4_3_S15_L001,OL1.4_3,27.19070286,49560,48760,OL1.4,A.albopictus,Adult,F,9/3/19,19,2.54,2.17,6.43,,D,C,OL,19.84744835,19.86358833,23.31805229,
OL1_4_4_S16_L001,OL1.4_4,28.37336742,49021,47291,OL1.4,A.albopictus,Adult,M,9/3/19,19,2.53,2.42,7.12,,D,C,OL,25.24251366,25.17086601,23.57708549,
OL3_2_4_S75_L001,OL3.2_4,27.4288441,32651,32527,OL3.2,A.albopictus,Adult,M,9/3/19,19,2.19,2.49,6.85,,N,C,OL,23.51911736,24.54657936,23.00582123,
OL3_2_5_S76_L001,OL3.2_5,28.29260119,53387,53030,OL3.2,A.albopictus,Adult,M,9/3/19,19,2.21,2.32,6.54,,N,C,OL,24.87580299,24.43319321,23.52405357,
OL3_3_5_S82_L001,OL3.3_5,27.51631044,34359,34083,OL3.3,A.albopictus,Adult,M,9/3/19,19,2.63,2.6,6.26,,D,C,OL,24.12549973,22.89544678,23.58956909,
OL3_4_3_S86_L001,OL3.4_3,27.40967837,42644,42142,OL3.4,A.albopictus,Adult,F,9/3/19,19,2.76,2.88,7.57,,D,C,OL,20.80472946,20.86345863,22.82571411,
OL3_4_4_S87_L001,OL3.4_4,26.29708322,33148,33078,OL3.4,A.albopictus,Adult,F,9/3/19,19,3.13,3.14,7.61,,D,C,OL,23.15842819,23.27330208,22.48309517,
SG2_3_1_S119_L001,SG2.3_1,26.8297864,33850,33701,SG2.3,A.albopictus,Adult,F,9/3/19,19,2.79,3.08,7.51,,D,C,SG,24.06548309,24.03174019,24.72895241,
SG2_4_2_S121_L001,SG2.4_2,27.07336595,44715,44658,SG2.4,A.albopictus,Adult,F,9/3/19,19,3.2,3.22,7.21,,D,C,SG,23.13216782,22.58800507,24.30283165,
SG2_5_6_S127_L001,SG2.5_6,25.70242499,34610,34504,SG2.5,A.albopictus,Adult,F,9/3/19,19,2.74,2.67,7.31,,N,H,SG,23.36654282,23.33204842,23.07901192,
SG2_7_4_S135_L001,SG2.7_4,27.14526972,64080,63705,SG2.7,A.albopictus,Adult,F,9/3/19,19,2.45,2.31,6.41,,D,H,SG,19.76153946,20.01447105,23.09932709,
SG3_3_1_S141_L001,SG3.3_1,28.21623066,32630,31859,SG3.3,A.albopictus,Adult,M,9/3/19,19,3.42,2.79,7.21,,D,C,SG,24.81376648,24.96126175,24.26336098,
SW1_5_1_S158_L001,SW1.5_1,23.43718307,57871,57520,SW1.5,A.albopictus,Adult,F,9/3/19,19,2.31,2.21,6.73,,N,H,SW,22.45518875,21.90499878,24.04989243,
SW1_8_1_S159_L001,SW1.8_1,27.79796652,39969,39722,SW1.8,A.albopictus,Adult,F,9/3/19,19,2.61,2.45,6.76,,D,H,SW,19.95973206,19.5988884,23.94446945,
SW3_1_1_S182_L001,SW3.1_1,27.65786955,36618,36401,SW3.1,A.albopictus,Adult,M,9/3/19,19,2.74,2.42,6.34,,N,C,SW,21.30607224,20.65884972,24.27055931,
SW3_8_3_S197_L001,SW3.8_3,22.48568379,20333,20264,SW3.8,A.albopictus,Adult,F,9/3/19,19,2.88,3.15,7.81,,D,H,SW,25.07369041,24.29316521,22.43276215,
OL1_2_1_S8_L001,OL1.2_1,27.41491402,61206,61026,OL1.2,A.albopictus,Adult,F,9/4/19,20,2.24,2.7,7.07,,N,C,OL,24.3219738,24.42866516,23.37666893,
OL1_6_4_S25_L001,OL1.6_4,27.51340267,49646,49278,OL1.6,A.albopictus,Adult,F,9/4/19,20,2.33,2.74,6.35,,N,H,OL,22.61651421,20.3595314,23.25758743,
